query_index,requested_qpos_m,basket_offset_x_m,basket_offset_y_m,actual_qpos_0_m,actual_qpos_1_m,actual_qpos_2_m,qpos_max_abs_error_m,qvel_norm_m_s,oracle_contact,oracle_penetration,min_separation_m
917,0.0675,-0.15999999999999998,0.07999999999999996,0.17820000648498535,0.17820000648498535,0.17819997668266296,0.11070000648498535,1.1975015202939514e-18,True,True,-0.02585480362176895
918,0.0675,-0.13999999999999996,0.07999999999999996,0.17820000648498535,0.17820000648498535,0.17819997668266296,0.11070000648498535,1.1975015202939514e-18,True,True,-0.02585480362176895
919,0.0675,-0.12,0.07999999999999996,0.17820000648498535,0.17820000648498535,0.17819997668266296,0.11070000648498535,1.1975015202939514e-18,True,True,-0.02585480362176895
920,0.0675,-0.09999999999999998,0.07999999999999996,0.17820000648498535,0.17820000648498535,0.17819997668266296,0.11070000648498535,1.1975015202939514e-18,True,True,-0.02585480362176895
921,0.0675,-0.07999999999999996,0.07999999999999996,0.17820000648498535,0.17820000648498535,0.17819997668266296,0.11070000648498535,1.1975015202939514e-18,True,True,-0.02585480362176895
922,0.0675,-0.06,0.07999999999999996,0.17820000648498535,0.17820000648498535,0.17819997668266296,0.11070000648498535,1.1975015202939514e-18,True,True,-0.02585480362176895
923,0.0675,-0.03999999999999998,0.07999999999999996,0.17820000648498535,0.17820000648498535,0.17819997668266296,0.11070000648498535,1.1975015202939514e-18,True,True,-0.02585480362176895
924,0.0675,-0.019999999999999962,0.07999999999999996,0.17820000648498535,0.17820000648498535,0.17819997668266296,0.11070000648498535,1.1975015202939514e-18,True,True,-0.02585480362176895
925,0.0675,0.0,0.07999999999999996,0.17820000648498535,0.17820000648498535,0.17819997668266296,0.11070000648498535,1.1975015202939514e-18,True,True,-0.02585480362176895
926,0.0675,0.020000000000000018,0.07999999999999996,0.17820000648498535,0.17820000648498535,0.17819997668266296,0.11070000648498535,1.1975015202939514e-18,True,True,-0.02585480362176895
927,0.0675,0.040000000000000036,0.07999999999999996,0.17820000648498535,0.17820000648498535,0.17819997668266296,0.11070000648498535,1.1975015202939514e-18,True,True,-0.02585480362176895
928,0.0675,0.06,0.07999999999999996,0.17820000648498535,0.17820000648498535,0.17819997668266296,0.11070000648498535,1.1975015202939514e-18,True,True,-0.02585480362176895
929,0.0675,0.08000000000000002,0.07999999999999996,0.17820000648498535,0.17820000648498535,0.17819997668266296,0.11070000648498535,1.1975015202939514e-18,True,True,-0.02585480362176895
930,0.0675,0.10000000000000003,0.07999999999999996,0.17820000648498535,0.17820000648498535,0.17819997668266296,0.11070000648498535,1.1975015202939514e-18,True,True,-0.02585480362176895
931,0.0675,0.12000000000000005,0.07999999999999996,0.17820000648498535,0.17820000648498535,0.17819997668266296,0.11070000648498535,1.1975015202939514e-18,True,True,-0.02585480362176895
932,0.0675,0.14000000000000007,0.07999999999999996,0.17820000648498535,0.17820000648498535,0.17819997668266296,0.11070000648498535,1.1975015202939514e-18,True,True,-0.02585480362176895
933,0.0675,0.15999999999999998,0.07999999999999996,0.17820000648498535,0.17820000648498535,0.17819997668266296,0.11070000648498535,1.1975015202939514e-18,True,True,-0.02585480362176895
